"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.028568139505717,-0.00990921647549676,0.00930426780942175,31,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0289466913078992,-0.0105170565474736,0.0090799827014193,32,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0284697188223956,-0.0105208029556277,0.00847027918490458,33,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.028641650711479,-0.00963052501855237,0.00924737872739387,34,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0278303115696825,-0.0091032121241875,0.00915732450322315,35,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0286490758986699,-0.0106705755392155,0.00802870547267436,36,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0286086002429078,-0.0101925608761568,0.00906956476796124,37,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0280377403937778,-0.00978475413751659,0.00907222118965895,38,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0273852464897511,-0.00897968286834421,0.00903944162599296,39,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
NA,NA,NA,40,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0271348080064952,-0.00945442469214712,0.00765509008951454,1,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0276147317838775,-0.0100094313170442,0.00793160731721,2,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0278700574464374,-0.0108636246347593,0.00788553259163897,3,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0277208131653861,-0.00949260764504009,0.00857117589486179,4,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0277930411564134,-0.00985097391117913,0.00780089209385801,5,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0278828893780818,-0.0107955183039711,0.00804377054933438,6,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0276838090293308,-0.00988490686261319,0.00857594294313786,7,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282914411326979,-0.0102041044540881,0.00851822161568929,8,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
