"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
122,1e+05,72479,98850.7,34522,0.0210651,8351,10964,1379760,80610.5,4129320,23575500,7.31297,3.22603,0,0,8471,71027,9445,24923,2116,0,23094,0,0,-81735.3,0,0.944801336373201,0.0551986636267988,0.882629983099712,0.117370016900288,0.921742667998077,0.0782573320019232
123,1e+05,72214,98851.5,34580,0.0210059,8566,10999,1380870,81572.4,4129320,23575500,7.31297,3.23064,0,0,8702,70738,9480,25006,2029,0,23256,0,0,-82362.4,0,0.944221803197172,0.0557781968028279,0.881822034954748,0.118177965045252,0.924949140003699,0.0750508599963011
124,1e+05,72123,98851.5,34543,0.0209816,8489,10969,1381400,81959.1,4129320,23575500,7.31297,3.23269,0,0,8589,70653,9490,24868,1995,0,23333,0,0,-82467.7,0,0.943992489608326,0.0560075103916735,0.881586663838389,0.118413336161611,0.925734281353535,0.0742657186464654
125,1e+05,72384,98850.7,34451,0.0208037,8360,10835,1377590,79410.2,4129320,23575500,7.31297,3.21861,0,0,8484,70916,9340,24930,2000,0,23285,0,0,-82702.9,0,0.94549746801682,0.0545025319831802,0.883622408293461,0.116377591706539,0.925733382844411,0.0742666171555886
126,1e+05,72348,98850,34692,0.0210974,8520,10984,1373040,79886.2,4129320,23575500,7.31297,3.20962,0,0,8660,70930,9444,25089,2067,0,23224,0,0,-82156.8,0,0.945017028394147,0.0549829716058531,0.882499315699107,0.117500684300893,0.923884224480778,0.0761157755192223
127,1e+05,72627,98850.9,34797,0.0207449,8454,10943,1381750,79611.8,4129320,23575500,7.31297,3.22825,0,0,8578,71223,9443,25100,2041,0,23108,0,0,-81934.3,0,0.945522183486663,0.0544778165133371,0.882937049066521,0.117062950933479,0.924800117902804,0.0751998820971961
128,1e+05,72299,98850.2,34673,0.020869,8512,10959,1374590,79052.3,4129320,23575500,7.31297,3.21117,0,0,8611,70912,9279,25033,1998,0,23315,0,0,-82543.5,0,0.945617776807953,0.0543822231920466,0.884288760584105,0.115711239415895,0.926084865524768,0.0739151344752321
129,1e+05,72556,98850.2,34766,0.0205666,8256,10726,1376340,78491.1,4129320,23575500,7.31297,3.21382,0,0,8364,71146,9498,25127,2042,0,23030,0,0,-81822.8,0,0.946047963918286,0.0539520360817142,0.882223104012698,0.117776895987302,0.924840811218668,0.0751591887813317
130,1e+05,72553,98849.6,34776,0.0213175,8530,11092,1372670,77356.8,4129320,23575500,7.31297,3.20317,0,0,8659,71157,9420,25186,2037,0,23092,0,0,-81788.6,0,0.946651468786646,0.0533485312133541,0.883093190364496,0.116906809635504,0.925173566469529,0.0748264335304706
131,1e+05,72658,98853.4,34774,0.0210368,8565,11009,1397180,80005.9,4129320,23575500,7.31297,3.26321,0,0,8678,71306,9497,25298,2031,0,23219,0,0,-82005,0,0.945838976665022,0.0541610233349777,0.882467235127409,0.117532764872591,0.925683340041714,0.0743166599582861
